model,first_reg,fuel,mileage_km,seller_type,swift,price,power_hp
cla 180,1/01/2010,1,210000,1,1,5500,95
a 160,1/07/2010,1,177000,0,1,5900,95
c 180,1/03/2010,1,67570,1,0,14000,156
a 160,1/11/2010,1,146000,1,1,6400,95
a 160,1/05/2010,1,140000,1,1,4200,95
b 160,1/10/2010,1,198000,0,1,6900,95
a 160,1/11/2011,1,165000,1,1,8000,95
b 180,1/06/2011,1,170000,0,1,7500,116
a 160,1/06/2012,1,198000,1,1,7000,95
b 180,1/06/2018,0,75000,0,1,21490,109
a 200,1/03/2016,0,221530,0,1,17900,136
gla 200,1/07/2020,0,98000,1,0,38000,150
c 220,1/05/2019,0,51426,0,0,35900,194
glb 220,1/08/2021,0,24000,1,1,49900,190
b 200,1/09/2017,0,156000,1,0,16499,136
b 160,1/11/2016,0,210000,1,1,14800,90
c 220,1/03/2017,0,55500,0,0,30900,170
s 350,1/07/2011,0,111000,1,1,20000,258
e 220,1/05/2017,0,76000,1,0,31000,194
e 250,1/05/2015,0,392300,0,0,12300,204
b 180,1/10/2019,0,40500,1,1,27000,116
a 180,1/12/2019,0,87000,1,1,28500,116
c 200,1/05/2013,0,295000,1,0,8000,136
b 180,1/02/2019,0,94000,1,0,27500,116
c 220,1/10/2016,0,43354,0,0,31300,170
c 200,1/02/2012,0,195000,1,1,11900,136
gla 200,1/01/2016,0,220000,0,1,16900,136
cla 200,1/05/2021,0,43180,0,0,38300,150
gla 220,1/03/2014,0,94320,0,0,23800,170
glc 200,1/01/2016,0,118759,0,0,30800,170
cla 220,1/03/2021,0,64372,0,0,37799,190
c 200,1/02/2021,0,55900,0,0,36900,160
g 350,1/09/2014,0,119000,1,0,66000,211
b 180,1/12/2019,0,25072,0,0,28900,116
a 180,1/10/2014,0,124000,0,0,15900,109
gla 200,1/11/2020,0,19200,1,0,44000,150
b 160,1/03/2020,0,69112,0,1,23900,95
gla 200,1/02/2014,0,220000,1,0,16500,136
a 180,1/12/2014,0,131712,0,0,15200,109
g 350,1/09/2017,0,35000,1,1,89000,246
glc 220,1/03/2020,0,94000,1,1,49900,194
cla 200,1/11/2014,0,195000,1,1,21000,136
glc 250,1/09/2016,0,155000,1,1,31000,204
a 180,1/06/2019,0,59000,1,0,25900,116
e 250,1/10/2016,0,150000,1,1,19900,204
glk 250,1/12/2012,0,105000,1,1,20000,204
gla 200,1/03/2016,0,187000,1,1,17500,136
c 200,1/10/2016,0,137000,1,0,22900,136
e 200,1/10/2018,0,87000,1,1,27800,150
cla 200,1/09/2020,0,37657,0,0,33600,150
e 400,1/05/2020,0,110000,0,0,44900,340
a 220,1/12/2021,0,16603,0,1,39000,190
glk 220,1/05/2010,0,202000,1,1,12500,170
c 250,1/02/2018,0,55000,1,1,38900,204
e 220,1/03/2015,0,230000,1,1,16000,170
glc 250,1/02/2019,0,43782,0,0,46500,204
e 220,1/05/2014,0,171489,0,0,16800,170
e 220,1/11/2018,0,121243,0,1,36200,194
citan,1/12/2014,0,199858,0,1,7450,90
cls,1/07/2015,0,209535,0,0,22900,204
c 200,1/12/2019,0,58000,1,1,26500,169
c 220,1/11/2018,0,85000,0,0,37500,194
a 180,1/07/2022,0,20100,0,0,33950,116
a 180,1/06/2014,0,230000,1,0,13000,109
cla 200,1/11/2019,0,120900,0,0,31999,150
b 180,1/12/2017,0,72000,1,0,19500,109
glc 220,1/08/2020,0,60255,0,0,52600,194
b 180,1/12/2012,0,123000,0,1,12350,109
c 220,1/10/2017,0,153350,0,0,23900,170
